Te	[sound:element-te.mp3]	[sound:element-tellurium.mp3]	"<img src=""element-52.png"">"	"<img src=""element-labels.png"">"	
I	[sound:element-i.mp3]	[sound:element-iodine.mp3]	"<img src=""element-53.png"">"	"<img src=""element-labels.png"">"	
Xe	[sound:element-xe.mp3]	[sound:element-xenon.mp3]	"<img src=""element-54.png"">"	"<img src=""element-labels.png"">"	
Cs	[sound:element-cs.mp3]	[sound:element-cesium.mp3]	"<img src=""element-55.png"">"	"<img src=""element-labels.png"">"	
Ba	[sound:element-ba.mp3]	[sound:element-barium.mp3]	"<img src=""element-56.png"">"	"<img src=""element-labels.png"">"	
La	[sound:element-la.mp3]	[sound:element-lanthanum.mp3]	"<img src=""element-57.png"">"	"<img src=""element-labels.png"">"	
Ce	[sound:element-ce.mp3]	[sound:element-cerium.mp3]	"<img src=""element-58.png"">"	"<img src=""element-labels.png"">"	
Pr	[sound:element-pr.mp3]	[sound:element-praseodymium.mp3]	"<img src=""element-59.png"">"	"<img src=""element-labels.png"">"	
Nd	[sound:element-nd.mp3]	[sound:element-neodymium.mp3]	"<img src=""element-60.png"">"	"<img src=""element-labels.png"">"	
Pm	[sound:element-pm.mp3]	[sound:element-promethium.mp3]	"<img src=""element-61.png"">"	"<img src=""element-labels.png"">"	
Sm	[sound:element-sm.mp3]	[sound:element-samarium.mp3]	"<img src=""element-62.png"">"	"<img src=""element-labels.png"">"	
Eu	[sound:element-eu.mp3]	[sound:element-europium.mp3]	"<img src=""element-63.png"">"	"<img src=""element-labels.png"">"	
Gd	[sound:element-gd.mp3]	[sound:element-gadolinium.mp3]	"<img src=""element-64.png"">"	"<img src=""element-labels.png"">"	
Tb	[sound:element-tb.mp3]	[sound:element-terbium.mp3]	"<img src=""element-65.png"">"	"<img src=""element-labels.png"">"	
Dy	[sound:element-dy.mp3]	[sound:element-dysprosium.mp3]	"<img src=""element-66.png"">"	"<img src=""element-labels.png"">"	
Ho	[sound:element-ho.mp3]	[sound:element-holmium.mp3]	"<img src=""element-67.png"">"	"<img src=""element-labels.png"">"	
Er	[sound:element-er.mp3]	[sound:element-erbium.mp3]	"<img src=""element-68.png"">"	"<img src=""element-labels.png"">"	
Tm	[sound:element-tm.mp3]	[sound:element-thulium.mp3]	"<img src=""element-69.png"">"	"<img src=""element-labels.png"">"	
Yb	[sound:element-yb.mp3]	[sound:element-ytterbium.mp3]	"<img src=""element-70.png"">"	"<img src=""element-labels.png"">"	
Lu	[sound:element-lu.mp3]	[sound:element-lutetium.mp3]	"<img src=""element-71.png"">"	"<img src=""element-labels.png"">"	
Hf	[sound:element-hf.mp3]	[sound:element-hafnium.mp3]	"<img src=""element-72.png"">"	"<img src=""element-labels.png"">"	
Ta	[sound:element-ta.mp3]	[sound:element-tantalum.mp3]	"<img src=""element-73.png"">"	"<img src=""element-labels.png"">"	
W	[sound:element-w.mp3]	[sound:element-tungsten.mp3]	"<img src=""element-74.png"">"	"<img src=""element-labels.png"">"	
Re	[sound:element-re.mp3]	[sound:element-rhenium.mp3]	"<img src=""element-75.png"">"	"<img src=""element-labels.png"">"	
Os	[sound:element-os.mp3]	[sound:element-osmium.mp3]	"<img src=""element-76.png"">"	"<img src=""element-labels.png"">"	
Ir	[sound:element-ir.mp3]	[sound:element-iridium.mp3]	"<img src=""element-77.png"">"	"<img src=""element-labels.png"">"	
Pt	[sound:element-pt.mp3]	[sound:element-platinum.mp3]	"<img src=""element-78.png"">"	"<img src=""element-labels.png"">"	
Au	[sound:element-au.mp3]	[sound:element-gold.mp3]	"<img src=""element-79.png"">"	"<img src=""element-labels.png"">"	
Hg	[sound:element-hg.mp3]	[sound:element-mercury.mp3]	"<img src=""element-80.png"">"	"<img src=""element-labels.png"">"	
Tl	[sound:element-tl.mp3]	[sound:element-thallium.mp3]	"<img src=""element-81.png"">"	"<img src=""element-labels.png"">"	
Pb	[sound:element-pb.mp3]	[sound:element-lead.mp3]	"<img src=""element-82.png"">"	"<img src=""element-labels.png"">"	
Bi	[sound:element-bi.mp3]	[sound:element-bismuth.mp3]	"<img src=""element-83.png"">"	"<img src=""element-labels.png"">"	
Po	[sound:element-po.mp3]	[sound:element-polonium.mp3]	"<img src=""element-84.png"">"	"<img src=""element-labels.png"">"	
At	[sound:element-at.mp3]	[sound:element-astatine.mp3]	"<img src=""element-85.png"">"	"<img src=""element-labels.png"">"	
Rn	[sound:element-rn.mp3]	[sound:element-radon.mp3]	"<img src=""element-86.png"">"	"<img src=""element-labels.png"">"	
Fr	[sound:element-fr.mp3]	[sound:element-francium.mp3]	"<img src=""element-87.png"">"	"<img src=""element-labels.png"">"	
Ra	[sound:element-ra.mp3]	[sound:element-radium.mp3]	"<img src=""element-88.png"">"	"<img src=""element-labels.png"">"	
